date,Atlantic cod (tons)
01/01/2015 00:00,523.315
01/02/2015 00:00,637.271
01/03/2015 00:00,682.098
01/04/2015 00:00,515.503
01/05/2015 00:00,326.499
01/06/2015 00:00,682.274
01/07/2015 00:00,625.604
01/08/2015 00:00,516.561
01/09/2015 00:00,797.773
01/10/2015 00:00,633.001
01/11/2015 00:00,786.932
01/12/2015 00:00,477.58
01/01/2016 00:00,724.092
01/02/2016 00:00,816.664
01/03/2016 00:00,960.34
01/04/2016 00:00,613.149
01/05/2016 00:00,356.278
01/06/2016 00:00,584.479
01/07/2016 00:00,382.315
01/08/2016 00:00,378.997
01/09/2016 00:00,335.249
01/10/2016 00:00,452.395
01/11/2016 00:00,536.619
01/12/2016 00:00,520.84
01/01/2017 00:00,539.904
01/02/2017 00:00,454.109
01/03/2017 00:00,714.634
01/04/2017 00:00,450.948
01/05/2017 00:00,509.731
01/06/2017 00:00,443.354
01/07/2017 00:00,576.187
01/08/2017 00:00,578.341
01/09/2017 00:00,409.351
01/10/2017 00:00,372.805
01/11/2017 00:00,648.192
01/12/2017 00:00,521.308
01/01/2018 00:00,764.268
01/02/2018 00:00,587.254
01/03/2018 00:00,887.076
01/04/2018 00:00,1432.142
01/05/2018 00:00,461.544
01/06/2018 00:00,629.725
01/07/2018 00:00,982.417
01/08/2018 00:00,1119.455
01/09/2018 00:00,930.477
01/10/2018 00:00,1018.958
01/11/2018 00:00,2162.176
01/12/2018 00:00,1460.106
01/01/2019 00:00,1711.08
01/02/2019 00:00,1737.767
01/03/2019 00:00,1889.937
01/04/2019 00:00,2106.37
01/05/2019 00:00,1178.538
01/06/2019 00:00,1528.028
01/07/2019 00:00,1590.723
01/08/2019 00:00,1646.952
01/09/2019 00:00,1863.774
01/10/2019 00:00,1723.449
01/11/2019 00:00,2213.679
01/12/2019 00:00,1100.626
01/01/2020 00:00,914.183
01/02/2020 00:00,1457.241
01/03/2020 00:00,1134.279
01/04/2020 00:00,1236.722
01/05/2020 00:00,688.119
01/06/2020 00:00,768.468
01/07/2020 00:00,728.201
01/08/2020 00:00,457.234
01/09/2020 00:00,520.587
01/10/2020 00:00,643.848
01/11/2020 00:00,433.994
01/12/2020 00:00,604.387
01/01/2021 00:00,657.912
01/02/2021 00:00,651.711
01/03/2021 00:00,737.057
01/04/2021 00:00,669.039
01/05/2021 00:00,238.542
01/06/2021 00:00,277.426
01/07/2021 00:00,336.041
01/08/2021 00:00,269.14
01/09/2021 00:00,338.643
01/10/2021 00:00,303.842
01/11/2021 00:00,321.818
01/12/2021 00:00,552.989
01/01/2022 00:00,207.562
01/02/2022 00:00,453.84
01/03/2022 00:00,510.513
01/04/2022 00:00,659.499
01/05/2022 00:00,222.979
01/06/2022 00:00,282.34
01/07/2022 00:00,200.721
01/08/2022 00:00,288.999
01/09/2022 00:00,399.714
01/10/2022 00:00,330.482
01/11/2022 00:00,440.409
01/12/2022 00:00,545.763
01/01/2023 00:00,247.021
01/02/2023 00:00,379.036
