DATE-YMD,HSST= HadISST Temperature (C),
1900-01-15,       4.803,
1900-02-15,       4.296,
1900-03-15,       3.796,
1900-04-15,       5.423,
1900-05-15,       8.685,
1900-06-15,      13.640,
1900-07-15,      15.876,
1900-08-15,      16.888,
1900-09-15,      15.159,
1900-10-15,      12.905,
1900-11-15,      10.495,
1900-12-15,       7.223,
1901-01-15,       4.670,
1901-02-15,       3.550,
1901-03-15,       3.348,
1901-04-15,       5.212,
1901-05-15,       8.735,
1901-06-15,      14.218,
1901-07-15,      16.703,
1901-08-15,      16.624,
1901-09-15,      15.307,
1901-10-15,      12.486,
1901-11-15,       9.515,
1901-12-15,       6.755,
1902-01-15,       4.574,
1902-02-15,       3.258,
1902-03-15,       3.373,
1902-04-15,       5.850,
1902-05-15,       7.887,
1902-06-15,      11.902,
1902-07-15,      15.096,
1902-08-15,      15.610,
1902-09-15,      14.075,
1902-10-15,      11.588,
1902-11-15,       9.706,
1902-12-15,       5.607,
1903-01-15,       4.883,
1903-02-15,       4.321,
1903-03-15,       5.160,
1903-04-15,       6.071,
1903-05-15,       9.047,
1903-06-15,      13.002,
1903-07-15,      15.540,
1903-08-15,      15.597,
1903-09-15,      14.170,
1903-10-15,      12.243,
1903-11-15,       9.410,
1903-12-15,       6.009,
1904-01-15,       4.666,
1904-02-15,       4.092,
1904-03-15,       3.475,
1904-04-15,       5.702,
1904-05-15,       8.267,
1904-06-15,      13.317,
1904-07-15,      15.224,
1904-08-15,      16.284,
1904-09-15,      14.721,
1904-10-15,      12.514,
1904-11-15,       9.706,
1904-12-15,       7.669,
1905-01-15,       4.995,
1905-02-15,       4.305,
1905-03-15,       4.382,
1905-04-15,       5.467,
1905-05-15,       8.842,
1905-06-15,      14.168,
1905-07-15,      16.999,
1905-08-15,      16.560,
1905-09-15,      14.368,
1905-10-15,      10.922,
1905-11-15,       8.155,
1905-12-15,       6.650,
1906-01-15,       4.892,
1906-02-15,       4.147,
1906-03-15,       3.991,
1906-04-15,       5.813,
1906-05-15,       9.167,
1906-06-15,      13.434,
1906-07-15,      15.210,
1906-08-15,      16.394,
1906-09-15,      14.823,
1906-10-15,      13.019,
1906-11-15,       9.926,
1906-12-15,       6.969,
1907-01-15,       4.744,
1907-02-15,       3.562,
1907-03-15,       4.048,
1907-04-15,       5.621,
1907-05-15,       8.539,
1907-06-15,      11.805,
1907-07-15,      13.936,
1907-08-15,      14.365,
1907-09-15,      13.680,
1907-10-15,      13.429,
1907-11-15,      10.160,
1907-12-15,       7.403,
1908-01-15,       5.190,
1908-02-15,       4.459,
1908-03-15,       3.831,
1908-04-15,       5.485,
1908-05-15,       8.582,
1908-06-15,      13.521,
1908-07-15,      16.283,
1908-08-15,      16.250,
1908-09-15,      14.207,
1908-10-15,      12.823,
1908-11-15,       8.940,
1908-12-15,       7.170,
1909-01-15,       5.076,
1909-02-15,       3.521,
1909-03-15,       2.588,
1909-04-15,       4.939,
1909-05-15,       7.953,
1909-06-15,      12.189,
1909-07-15,      14.479,
1909-08-15,      14.992,
1909-09-15,      14.022,
1909-10-15,      13.024,
1909-11-15,       8.968,
1909-12-15,       6.460,
1910-01-15,       5.112,
1910-02-15,       4.228,
1910-03-15,       4.792,
1910-04-15,       6.426,
1910-05-15,       9.282,
1910-06-15,      14.697,
1910-07-15,      16.075,
1910-08-15,      16.777,
1910-09-15,      15.184,
1910-10-15,      12.888,
1910-11-15,       8.596,
1910-12-15,       6.684,
1911-01-15,       5.094,
1911-02-15,       4.475,
1911-03-15,       4.516,
1911-04-15,       5.594,
