DATE-YMD,HSST= HadISST Temperature (C),
1900-01-15,       9.233,
1900-02-15,       8.056,
1900-03-15,       7.365,
1900-04-15,       8.144,
1900-05-15,       9.787,
1900-06-15,      12.513,
1900-07-15,      14.678,
1900-08-15,      16.026,
1900-09-15,      15.467,
1900-10-15,      14.135,
1900-11-15,      12.315,
1900-12-15,      10.266,
1901-01-15,       8.720,
1901-02-15,       7.403,
1901-03-15,       7.032,
1901-04-15,       8.059,
1901-05-15,       9.766,
1901-06-15,      12.793,
1901-07-15,      14.855,
1901-08-15,      15.557,
1901-09-15,      15.261,
1901-10-15,      13.712,
1901-11-15,      11.621,
1901-12-15,       9.671,
1902-01-15,       8.041,
1902-02-15,       7.092,
1902-03-15,       7.143,
1902-04-15,       8.063,
1902-05-15,       9.142,
1902-06-15,      11.472,
1902-07-15,      14.004,
1902-08-15,      15.071,
1902-09-15,      14.744,
1902-10-15,      13.166,
1902-11-15,      11.918,
1902-12-15,       9.344,
1903-01-15,       8.636,
1903-02-15,       8.270,
1903-03-15,       7.962,
1903-04-15,       8.210,
1903-05-15,       9.725,
1903-06-15,      12.198,
1903-07-15,      14.636,
1903-08-15,      15.034,
1903-09-15,      14.386,
1903-10-15,      13.535,
1903-11-15,      11.952,
1903-12-15,       9.319,
1904-01-15,       8.463,
1904-02-15,       7.716,
1904-03-15,       7.089,
1904-04-15,       8.167,
1904-05-15,       9.664,
1904-06-15,      12.119,
1904-07-15,      14.435,
1904-08-15,      15.610,
1904-09-15,      14.741,
1904-10-15,      13.543,
1904-11-15,      11.939,
1904-12-15,      10.338,
1905-01-15,       8.647,
1905-02-15,       8.040,
1905-03-15,       7.769,
1905-04-15,       8.461,
1905-05-15,       9.929,
1905-06-15,      12.803,
1905-07-15,      15.399,
1905-08-15,      15.459,
1905-09-15,      14.393,
1905-10-15,      12.460,
1905-11-15,      10.800,
1905-12-15,       9.607,
1906-01-15,       8.782,
1906-02-15,       7.641,
1906-03-15,       7.184,
1906-04-15,       7.829,
1906-05-15,       9.221,
1906-06-15,      12.206,
1906-07-15,      14.091,
1906-08-15,      15.512,
1906-09-15,      15.324,
1906-10-15,      14.101,
1906-11-15,      11.713,
1906-12-15,       9.782,
1907-01-15,       8.457,
1907-02-15,       7.035,
1907-03-15,       7.158,
1907-04-15,       8.080,
1907-05-15,       9.533,
1907-06-15,      11.833,
1907-07-15,      13.307,
1907-08-15,      14.456,
1907-09-15,      14.912,
1907-10-15,      13.756,
1907-11-15,      11.956,
1907-12-15,      10.289,
1908-01-15,       8.535,
1908-02-15,       7.799,
1908-03-15,       7.273,
1908-04-15,       7.854,
1908-05-15,       9.781,
1908-06-15,      12.246,
1908-07-15,      14.295,
1908-08-15,      15.230,
1908-09-15,      14.492,
1908-10-15,      14.339,
1908-11-15,      12.298,
1908-12-15,      10.559,
1909-01-15,       9.104,
1909-02-15,       7.757,
1909-03-15,       6.867,
1909-04-15,       8.236,
1909-05-15,       9.797,
1909-06-15,      11.961,
1909-07-15,      13.462,
1909-08-15,      15.019,
1909-09-15,      14.364,
1909-10-15,      13.737,
1909-11-15,      11.217,
1909-12-15,       9.313,
1910-01-15,       8.566,
1910-02-15,       7.896,
1910-03-15,       7.873,
1910-04-15,       8.329,
1910-05-15,       9.879,
1910-06-15,      12.523,
1910-07-15,      13.639,
1910-08-15,      14.934,
1910-09-15,      14.733,
1910-10-15,      13.851,
1910-11-15,      11.265,
1910-12-15,       9.941,
1911-01-15,       8.549,
1911-02-15,       7.824,
1911-03-15,       7.678,
1911-04-15,       7.853,
1911-05-15,      10.225,
1911-06-15,      12.802,
1911-07-15,      14.873,
1911-08-15,      16.715,
1911-09-15,      16.060,
1911-10-15,      13.968,
1911-11-15,      11.440,
1911-12-15,      10.052,
1912-01-15,       9.131,
1912-02-15,       8.314,
1912-03-15,       8.525,
1912-04-15,       9.357,
1912-05-15,      10.963,
1912-06-15,      12.766,
1912-07-15,      14.570,
1912-08-15,      14.406,
1912-09-15,      13.718,
1912-10-15,      12.784,
1912-11-15,      11.156,
1912-12-15,      10.123,
1913-01-15,       9.196,
1913-02-15,       8.268,
1913-03-15,       8.028,
1913-04-15,       8.395,
1913-05-15,       9.971,
1913-06-15,      12.247,
1913-07-15,      13.981,
1913-08-15,      15.316,
1913-09-15,      15.135,
1913-10-15,      14.117,
1913-11-15,      12.219,
1913-12-15,      10.389,
1914-01-15,       8.654,
1914-02-15,       8.467,
1914-03-15,       8.093,
1914-04-15,       9.233,
1914-05-15,      10.439,
1914-06-15,      12.390,
