DATE-YMD,HSST= HadISST Temperature (C),
1900-01-15,       7.333,
1900-02-15,       7.051,
1900-03-15,       6.963,
1900-04-15,       7.266,
1900-05-15,       7.860,
1900-06-15,       9.594,
1900-07-15,      11.075,
1900-08-15,      11.903,
1900-09-15,      10.842,
1900-10-15,       9.635,
1900-11-15,       8.470,
1900-12-15,       7.955,
1901-01-15,       7.321,
1901-02-15,       6.741,
1901-03-15,       6.599,
1901-04-15,       7.118,
1901-05-15,       7.852,
1901-06-15,       9.621,
1901-07-15,      10.945,
1901-08-15,      11.394,
1901-09-15,      10.540,
1901-10-15,       9.369,
1901-11-15,       8.219,
1901-12-15,       7.501,
1902-01-15,       6.482,
1902-02-15,       6.434,
1902-03-15,       6.757,
1902-04-15,       6.539,
1902-05-15,       7.369,
1902-06-15,       8.980,
1902-07-15,      10.747,
1902-08-15,      11.170,
1902-09-15,      10.455,
1902-10-15,       9.086,
1902-11-15,       8.094,
1902-12-15,       7.738,
1903-01-15,       7.283,
1903-02-15,       7.299,
1903-03-15,       6.973,
1903-04-15,       6.839,
1903-05-15,       7.734,
1903-06-15,       9.040,
1903-07-15,      10.339,
1903-08-15,      10.901,
1903-09-15,      10.146,
1903-10-15,       9.594,
1903-11-15,       8.300,
1903-12-15,       7.203,
1904-01-15,       7.213,
1904-02-15,       7.089,
1904-03-15,       6.906,
1904-04-15,       7.308,
1904-05-15,       7.777,
1904-06-15,       9.442,
1904-07-15,      10.886,
1904-08-15,      11.408,
1904-09-15,      10.430,
1904-10-15,       9.114,
1904-11-15,       7.954,
1904-12-15,       7.649,
1905-01-15,       6.883,
1905-02-15,       7.061,
1905-03-15,       7.010,
1905-04-15,       7.223,
1905-05-15,       7.792,
1905-06-15,       9.728,
1905-07-15,      11.082,
1905-08-15,      11.069,
1905-09-15,      10.091,
1905-10-15,       8.826,
1905-11-15,       7.878,
1905-12-15,       7.781,
1906-01-15,       6.907,
1906-02-15,       6.556,
1906-03-15,       6.602,
1906-04-15,       6.735,
1906-05-15,       6.890,
1906-06-15,       8.956,
1906-07-15,      10.031,
1906-08-15,      10.968,
1906-09-15,      10.784,
1906-10-15,       9.482,
1906-11-15,       8.060,
1906-12-15,       7.392,
1907-01-15,       6.953,
1907-02-15,       6.720,
1907-03-15,       6.817,
1907-04-15,       6.981,
1907-05-15,       7.621,
1907-06-15,       9.008,
1907-07-15,      10.046,
1907-08-15,      10.683,
1907-09-15,       9.946,
1907-10-15,       9.088,
