DATE-YMD,HSST= HadISST Temperature (C),
1900-01-15,       5.319,
1900-02-15,       4.632,
1900-03-15,       4.323,
1900-04-15,       4.427,
1900-05-15,       5.060,
1900-06-15,       6.758,
1900-07-15,       8.532,
1900-08-15,       9.581,
1900-09-15,       8.633,
1900-10-15,       7.130,
1900-11-15,       5.598,
1900-12-15,       5.266,
1901-01-15,       5.111,
1901-02-15,       4.493,
1901-03-15,       4.111,
1901-04-15,       4.279,
1901-05-15,       5.006,
1901-06-15,       6.483,
1901-07-15,       8.625,
1901-08-15,       9.258,
1901-09-15,       8.494,
1901-10-15,       6.888,
1901-11-15,       5.518,
1901-12-15,       5.208,
1902-01-15,       4.252,
1902-02-15,       3.995,
1902-03-15,       4.218,
1902-04-15,       3.358,
1902-05-15,       4.569,
1902-06-15,       6.346,
1902-07-15,       8.278,
1902-08-15,       8.499,
1902-09-15,       8.178,
1902-10-15,       7.149,
1902-11-15,       5.556,
1902-12-15,       5.573,
1903-01-15,       5.130,
1903-02-15,       5.096,
1903-03-15,       4.548,
1903-04-15,       4.070,
1903-05-15,       4.540,
1903-06-15,       6.064,
1903-07-15,       7.570,
1903-08-15,       8.133,
1903-09-15,       7.590,
1903-10-15,       6.632,
1903-11-15,       5.512,
1903-12-15,       4.754,
1904-01-15,       4.680,
1904-02-15,       4.522,
1904-03-15,       4.438,
1904-04-15,       4.432,
1904-05-15,       4.979,
1904-06-15,       7.143,
1904-07-15,       8.548,
1904-08-15,       9.123,
1904-09-15,       8.016,
1904-10-15,       6.416,
1904-11-15,       5.110,
1904-12-15,       5.167,
1905-01-15,       4.734,
1905-02-15,       5.099,
1905-03-15,       4.431,
1905-04-15,       4.626,
1905-05-15,       4.943,
1905-06-15,       6.954,
1905-07-15,       8.201,
1905-08-15,       8.302,
1905-09-15,       7.705,
1905-10-15,       6.620,
1905-11-15,       5.798,
1905-12-15,       5.534,
1906-01-15,       5.118,
1906-02-15,       4.771,
1906-03-15,       4.761,
1906-04-15,       4.150,
1906-05-15,       4.136,
1906-06-15,       6.395,
1906-07-15,       7.211,
1906-08-15,       7.780,
1906-09-15,       8.026,
1906-10-15,       6.578,
1906-11-15,       5.379,
1906-12-15,       4.789,
1907-01-15,       4.572,
1907-02-15,       4.312,
1907-03-15,       4.239,
1907-04-15,       4.283,
1907-05-15,       5.057,
1907-06-15,       6.058,
1907-07-15,       7.424,
1907-08-15,       8.187,
1907-09-15,       7.324,
1907-10-15,       6.129,
1907-11-15,       5.091,
1907-12-15,       5.036,
1908-01-15,       5.025,
1908-02-15,       3.886,
1908-03-15,       3.938,
1908-04-15,       4.389,
1908-05-15,       4.696,
1908-06-15,       6.231,
1908-07-15,       8.154,
1908-08-15,       8.691,
1908-09-15,       7.737,
1908-10-15,       7.023,
1908-11-15,       5.652,
1908-12-15,       5.683,
1909-01-15,       4.837,
1909-02-15,       4.948,
1909-03-15,       4.616,
1909-04-15,       4.615,
1909-05-15,       5.010,
1909-06-15,       7.018,
1909-07-15,       7.847,
1909-08-15,       8.732,
1909-09-15,       7.654,
1909-10-15,       6.389,
1909-11-15,       5.144,
1909-12-15,       4.699,
1910-01-15,       4.023,
1910-02-15,       4.007,
1910-03-15,       4.402,
1910-04-15,       3.844,
1910-05-15,       4.480,
1910-06-15,       6.068,
1910-07-15,       7.847,
1910-08-15,       8.978,
1910-09-15,       7.833,
1910-10-15,       6.379,
1910-11-15,       4.986,
1910-12-15,       4.788,
1911-01-15,       4.521,
1911-02-15,       4.467,
1911-03-15,       4.161,
1911-04-15,       3.949,
1911-05-15,       3.800,
1911-06-15,       5.680,
1911-07-15,       7.494,
1911-08-15,       8.464,
1911-09-15,       7.919,
1911-10-15,       6.695,
1911-11-15,       5.312,
1911-12-15,       5.067,
1912-01-15,       5.271,
1912-02-15,       5.266,
1912-03-15,       5.105,
1912-04-15,       4.934,
1912-05-15,       5.521,
1912-06-15,       6.675,
1912-07-15,       7.863,
1912-08-15,       8.297,
1912-09-15,       7.330,
1912-10-15,       6.838,
1912-11-15,       5.679,
1912-12-15,       5.337,
1913-01-15,       5.513,
1913-02-15,       4.808,
1913-03-15,       4.942,
1913-04-15,       4.528,
1913-05-15,       5.401,
1913-06-15,       6.436,
1913-07-15,       8.289,
1913-08-15,       8.817,
1913-09-15,       7.390,
1913-10-15,       6.398,
