DATE-YMD,HSST= HadISST Temperature (C),
1900-01-15,       5.860,
1900-02-15,       5.592,
1900-03-15,       5.251,
1900-04-15,       5.313,
1900-05-15,       6.433,
1900-06-15,       8.910,
1900-07-15,      11.039,
1900-08-15,      12.097,
1900-09-15,      11.014,
1900-10-15,       9.229,
1900-11-15,       7.875,
1900-12-15,       6.510,
1901-01-15,       5.731,
1901-02-15,       5.116,
1901-03-15,       4.666,
1901-04-15,       5.206,
1901-05-15,       6.362,
1901-06-15,       9.075,
1901-07-15,      11.252,
1901-08-15,      11.797,
1901-09-15,      10.774,
1901-10-15,       8.817,
1901-11-15,       7.340,
1901-12-15,       6.270,
1902-01-15,       5.582,
1902-02-15,       4.912,
1902-03-15,       4.894,
1902-04-15,       4.855,
1902-05-15,       5.893,
1902-06-15,       7.902,
1902-07-15,      10.430,
1902-08-15,      10.980,
1902-09-15,       9.862,
1902-10-15,       8.176,
1902-11-15,       7.183,
1902-12-15,       5.862,
1903-01-15,       5.829,
1903-02-15,       5.647,
1903-03-15,       5.596,
1903-04-15,       5.135,
1903-05-15,       6.478,
1903-06-15,       8.364,
1903-07-15,      10.475,
1903-08-15,      11.152,
1903-09-15,      10.344,
1903-10-15,       9.052,
1903-11-15,       7.558,
1903-12-15,       5.832,
1904-01-15,       5.896,
1904-02-15,       5.604,
1904-03-15,       5.211,
1904-04-15,       5.650,
1904-05-15,       6.793,
1904-06-15,       9.018,
1904-07-15,      10.861,
1904-08-15,      11.354,
1904-09-15,      10.682,
1904-10-15,       8.957,
1904-11-15,       7.351,
1904-12-15,       6.717,
1905-01-15,       5.944,
1905-02-15,       5.733,
1905-03-15,       5.518,
1905-04-15,       5.672,
1905-05-15,       6.791,
1905-06-15,       9.572,
1905-07-15,      11.660,
1905-08-15,      12.137,
1905-09-15,      10.574,
1905-10-15,       8.053,
1905-11-15,       7.120,
1905-12-15,       6.506,
1906-01-15,       5.911,
1906-02-15,       5.670,
1906-03-15,       4.977,
1906-04-15,       5.338,
1906-05-15,       5.932,
1906-06-15,       8.356,
1906-07-15,      10.601,
1906-08-15,      11.559,
1906-09-15,      10.686,
1906-10-15,       8.997,
1906-11-15,       7.476,
1906-12-15,       6.286,
1907-01-15,       5.998,
1907-02-15,       5.363,
1907-03-15,       5.519,
1907-04-15,       5.547,
1907-05-15,       6.612,
1907-06-15,       8.563,
1907-07-15,      10.180,
1907-08-15,      10.627,
1907-09-15,       9.646,
1907-10-15,       8.838,
1907-11-15,       7.743,
1907-12-15,       6.561,
1908-01-15,       6.030,
1908-02-15,       5.372,
1908-03-15,       5.170,
1908-04-15,       5.352,
1908-05-15,       6.298,
1908-06-15,       8.783,
1908-07-15,      10.844,
1908-08-15,      11.678,
1908-09-15,      10.456,
1908-10-15,       9.415,
1908-11-15,       7.345,
1908-12-15,       6.863,
1909-01-15,       6.140,
1909-02-15,       5.543,
1909-03-15,       4.884,
1909-04-15,       5.359,
1909-05-15,       6.058,
1909-06-15,       8.621,
1909-07-15,      10.337,
1909-08-15,      10.942,
1909-09-15,      10.273,
1909-10-15,       8.914,
1909-11-15,       6.894,
1909-12-15,       5.782,
1910-01-15,       5.607,
1910-02-15,       5.538,
1910-03-15,       5.472,
1910-04-15,       5.635,
1910-05-15,       6.832,
1910-06-15,       9.127,
1910-07-15,      11.069,
1910-08-15,      12.007,
1910-09-15,      10.829,
1910-10-15,       8.764,
1910-11-15,       6.598,
1910-12-15,       6.013,
1911-01-15,       5.808,
1911-02-15,       5.539,
1911-03-15,       5.330,
1911-04-15,       5.205,
1911-05-15,       6.851,
1911-06-15,       8.824,
1911-07-15,      10.820,
1911-08-15,      12.175,
1911-09-15,      10.624,
1911-10-15,       8.719,
1911-11-15,       7.218,
1911-12-15,       6.731,
1912-01-15,       5.995,
1912-02-15,       5.390,
1912-03-15,       5.799,
1912-04-15,       5.807,
1912-05-15,       6.714,
1912-06-15,       8.759,
1912-07-15,      11.564,
1912-08-15,      11.762,
1912-09-15,       9.652,
1912-10-15,       8.322,
1912-11-15,       6.960,
1912-12-15,       6.662,
1913-01-15,       6.071,
1913-02-15,       5.649,
1913-03-15,       5.750,
1913-04-15,       5.877,
1913-05-15,       7.233,
1913-06-15,       9.130,
1913-07-15,      10.732,
1913-08-15,      11.694,
1913-09-15,      10.445,
1913-10-15,       8.831,
1913-11-15,       7.727,
1913-12-15,       6.866,
1914-01-15,       5.834,
1914-02-15,       6.024,
1914-03-15,       5.364,
1914-04-15,       5.700,
1914-05-15,       6.632,
1914-06-15,       8.761,
1914-07-15,      12.041,
1914-08-15,      12.325,
1914-09-15,      10.470,
1914-10-15,       8.961,
1914-11-15,       7.638,
1914-12-15,       6.759,
1915-01-15,       6.103,
1915-02-15,       5.523,
1915-03-15,       5.035,
1915-04-15,       5.104,
1915-05-15,       6.378,
1915-06-15,       8.970,
1915-07-15,      11.150,
1915-08-15,      11.977,
1915-09-15,      10.493,
1915-10-15,       8.688,
1915-11-15,       6.933,
1915-12-15,       5.967,
1916-01-15,       5.556,
1916-02-15,       5.292,
1916-03-15,       4.949,
1916-04-15,       5.275,
1916-05-15,       6.378,
1916-06-15,       8.402,
1916-07-15,      10.383,
1916-08-15,      11.301,
1916-09-15,      10.377,
1916-10-15,       8.859,
1916-11-15,       7.468,
1916-12-15,       5.896,
1917-01-15,       5.046,
1917-02-15,       4.349,
1917-03-15,       4.221,
1917-04-15,       4.402,
1917-05-15,       6.108,
1917-06-15,       8.588,
1917-07-15,      10.853,
1917-08-15,      11.801,
1917-09-15,      10.583,
1917-10-15,       8.680,
1917-11-15,       6.946,
1917-12-15,       5.576,
1918-01-15,       4.944,
1918-02-15,       4.863,
1918-03-15,       4.967,
1918-04-15,       5.243,
1918-05-15,       6.423,
1918-06-15,       8.727,
1918-07-15,      10.778,
1918-08-15,      11.270,
1918-09-15,      10.027,
1918-10-15,       8.153,
1918-11-15,       7.205,
1918-12-15,       6.081,
1919-01-15,       5.261,
1919-02-15,       4.755,
1919-03-15,       4.742,
1919-04-15,       5.048,
1919-05-15,       6.428,
1919-06-15,       8.700,
1919-07-15,      10.300,
1919-08-15,      11.075,
1919-09-15,       9.679,
1919-10-15,       7.941,
1919-11-15,       5.975,
1919-12-15,       5.630,
1920-01-15,       5.563,
1920-02-15,       5.529,
1920-03-15,       5.591,
1920-04-15,       6.005,
1920-05-15,       7.389,
1920-06-15,       9.406,
1920-07-15,      11.612,
1920-08-15,      12.094,
1920-09-15,      10.746,
1920-10-15,       9.083,
1920-11-15,       7.573,
1920-12-15,       6.482,
1921-01-15,       6.038,
1921-02-15,       5.571,
1921-03-15,       5.784,
1921-04-15,       6.032,
1921-05-15,       7.425,
1921-06-15,       9.118,
1921-07-15,      10.694,
1921-08-15,      11.357,
1921-09-15,      10.408,
1921-10-15,       8.705,
1921-11-15,       6.939,
1921-12-15,       5.833,
1922-01-15,       5.578,
1922-02-15,       5.205,
1922-03-15,       5.300,
1922-04-15,       5.113,
1922-05-15,       6.589,
1922-06-15,       8.837,
1922-07-15,      10.839,
