DATE-YMD,HSST= HadISST Temperature (C),
1900-01-15,       8.462,
1900-02-15,       7.908,
1900-03-15,       7.495,
1900-04-15,       7.870,
1900-05-15,       8.882,
1900-06-15,      11.226,
1900-07-15,      12.897,
1900-08-15,      13.905,
1900-09-15,      12.880,
1900-10-15,      11.659,
1900-11-15,      10.367,
1900-12-15,       9.303,
1901-01-15,       8.238,
1901-02-15,       7.503,
1901-03-15,       7.148,
1901-04-15,       7.768,
1901-05-15,       9.024,
1901-06-15,      11.485,
1901-07-15,      13.027,
1901-08-15,      13.560,
1901-09-15,      12.581,
1901-10-15,      11.353,
1901-11-15,       9.998,
1901-12-15,       8.924,
1902-01-15,       7.741,
1902-02-15,       7.281,
1902-03-15,       7.274,
1902-04-15,       7.451,
1902-05-15,       8.354,
1902-06-15,      10.406,
1902-07-15,      12.421,
1902-08-15,      13.073,
1902-09-15,      12.297,
1902-10-15,      10.882,
1902-11-15,      10.123,
1902-12-15,       8.799,
1903-01-15,       8.348,
1903-02-15,       8.068,
1903-03-15,       7.580,
1903-04-15,       7.542,
1903-05-15,       8.715,
1903-06-15,      10.819,
1903-07-15,      12.512,
1903-08-15,      12.913,
1903-09-15,      12.007,
1903-10-15,      11.339,
1903-11-15,      10.151,
1903-12-15,       8.535,
1904-01-15,       8.227,
1904-02-15,       7.746,
1904-03-15,       7.238,
1904-04-15,       7.803,
1904-05-15,       8.789,
1904-06-15,      10.932,
1904-07-15,      12.509,
1904-08-15,      13.384,
1904-09-15,      12.429,
1904-10-15,      11.170,
1904-11-15,      10.016,
1904-12-15,       9.105,
1905-01-15,       8.048,
1905-02-15,       7.725,
1905-03-15,       7.456,
1905-04-15,       7.740,
1905-05-15,       8.851,
1905-06-15,      11.510,
1905-07-15,      13.188,
1905-08-15,      13.221,
1905-09-15,      11.996,
1905-10-15,      10.559,
1905-11-15,       9.435,
1905-12-15,       8.944,
1906-01-15,       8.209,
1906-02-15,       7.296,
1906-03-15,       6.951,
1906-04-15,       7.488,
1906-05-15,       8.186,
1906-06-15,      10.973,
1906-07-15,      12.020,
1906-08-15,      13.220,
1906-09-15,      12.841,
1906-10-15,      11.598,
1906-11-15,       9.877,
1906-12-15,       8.794,
1907-01-15,       8.094,
1907-02-15,       7.245,
1907-03-15,       7.189,
1907-04-15,       7.708,
1907-05-15,       8.536,
1907-06-15,      10.581,
1907-07-15,      11.789,
1907-08-15,      12.376,
1907-09-15,      12.153,
1907-10-15,      11.312,
1907-11-15,      10.096,
1907-12-15,       9.008,
1908-01-15,       8.441,
1908-02-15,       7.545,
1908-03-15,       7.223,
1908-04-15,       7.454,
1908-05-15,       8.729,
1908-06-15,      10.684,
1908-07-15,      12.482,
1908-08-15,      12.992,
1908-09-15,      12.121,
1908-10-15,      11.770,
1908-11-15,      10.349,
1908-12-15,       9.507,
1909-01-15,       8.298,
1909-02-15,       7.585,
1909-03-15,       6.919,
1909-04-15,       7.816,
1909-05-15,       8.774,
1909-06-15,      10.674,
1909-07-15,      11.945,
1909-08-15,      13.035,
1909-09-15,      11.913,
1909-10-15,      11.311,
1909-11-15,       9.697,
1909-12-15,       8.637,
1910-01-15,       8.031,
1910-02-15,       7.579,
1910-03-15,       7.653,
1910-04-15,       7.629,
1910-05-15,       8.728,
1910-06-15,      11.164,
1910-07-15,      12.296,
1910-08-15,      13.478,
1910-09-15,      12.580,
1910-10-15,      11.335,
1910-11-15,       9.512,
1910-12-15,       8.847,
1911-01-15,       8.215,
1911-02-15,       7.951,
1911-03-15,       7.753,
1911-04-15,       7.787,
1911-05-15,       9.250,
1911-06-15,      11.141,
1911-07-15,      12.547,
1911-08-15,      13.938,
1911-09-15,      12.917,
1911-10-15,      11.395,
1911-11-15,       9.854,
1911-12-15,       9.109,
1912-01-15,       8.384,
1912-02-15,       8.050,
1912-03-15,       7.923,
1912-04-15,       8.261,
1912-05-15,       9.316,
1912-06-15,      11.037,
1912-07-15,      12.610,
1912-08-15,      12.833,
1912-09-15,      11.660,
1912-10-15,      10.988,
1912-11-15,       9.553,
1912-12-15,       9.085,
1913-01-15,       8.483,
1913-02-15,       7.666,
1913-03-15,       7.544,
1913-04-15,       7.693,
1913-05-15,       8.947,
1913-06-15,      10.877,
1913-07-15,      12.325,
1913-08-15,      13.170,
1913-09-15,      12.513,
1913-10-15,      11.333,
1913-11-15,       9.953,
1913-12-15,       8.977,
1914-01-15,       7.907,
1914-02-15,       7.946,
1914-03-15,       7.350,
1914-04-15,       8.271,
1914-05-15,       8.872,
1914-06-15,      10.573,
1914-07-15,      12.775,
1914-08-15,      13.560,
1914-09-15,      12.685,
1914-10-15,      11.728,
1914-11-15,      10.154,
1914-12-15,       9.116,
1915-01-15,       8.181,
1915-02-15,       7.459,
1915-03-15,       7.104,
1915-04-15,       7.513,
1915-05-15,       9.036,
1915-06-15,      11.313,
1915-07-15,      12.877,
