Date,Month,Quarter,Year,Strength
01/01/2010,1,Q1,2010,8.126814596
02/01/2010,1,Q1,2010,7.133736654
03/01/2010,1,Q1,2010,6.019090427
04/01/2010,1,Q1,2010,4.953728095
05/01/2010,1,Q1,2010,4.067561255
06/01/2010,1,Q1,2010,3.439999268
07/01/2010,1,Q1,2010,3.109205095
08/01/2010,1,Q1,2010,3.093298531
09/01/2010,1,Q1,2010,3.409316217
10/01/2010,1,Q1,2010,4.075831441
11/01/2010,1,Q1,2010,5.094205841
12/01/2010,1,Q1,2010,6.417521075
13/01/2010,1,Q1,2010,7.926636545
14/01/2010,1,Q1,2010,9.432268079
15/01/2010,1,Q1,2010,10.71035503
16/01/2010,1,Q1,2010,11.56171906
17/01/2010,1,Q1,2010,11.87416572
18/01/2010,1,Q1,2010,11.66154539
19/01/2010,1,Q1,2010,11.06185463
20/01/2010,1,Q1,2010,10.29254838
21/01/2010,1,Q1,2010,9.579023842
22/01/2010,1,Q1,2010,9.083665377
23/01/2010,1,Q1,2010,8.862683935
24/01/2010,1,Q1,2010,8.866361923
25/01/2010,1,Q1,2010,8.98011312
26/01/2010,1,Q1,2010,9.086436852
27/01/2010,1,Q1,2010,9.119127794
28/01/2010,1,Q1,2010,9.08581213
29/01/2010,1,Q1,2010,9.051140593
30/01/2010,1,Q1,2010,9.092232205
31/01/2010,1,Q1,2010,9.250330212
01/02/2010,2,Q1,2010,9.502559159
02/02/2010,2,Q1,2010,9.766086137
03/02/2010,2,Q1,2010,9.930308053
04/02/2010,2,Q1,2010,9.899697001
05/02/2010,2,Q1,2010,9.627088956
06/02/2010,2,Q1,2010,9.124780598
07/02/2010,2,Q1,2010,8.453195014
08/02/2010,2,Q1,2010,7.696788604
09/02/2010,2,Q1,2010,6.939705691
10/02/2010,2,Q1,2010,6.249570654
11/02/2010,2,Q1,2010,5.671039245
12/02/2010,2,Q1,2010,5.226528527
13/02/2010,2,Q1,2010,4.921600843
14/02/2010,2,Q1,2010,4.753927626
15/02/2010,2,Q1,2010,4.724113108
16/02/2010,2,Q1,2010,4.843874649
17/02/2010,2,Q1,2010,5.135566513
18/02/2010,2,Q1,2010,5.620282799
19/02/2010,2,Q1,2010,6.299206236
20/02/2010,2,Q1,2010,7.138889234
21/02/2010,2,Q1,2010,8.069940442
22/02/2010,2,Q1,2010,9.000092683
23/02/2010,2,Q1,2010,9.832956893
24/02/2010,2,Q1,2010,10.48023472
25/02/2010,2,Q1,2010,10.86106532
26/02/2010,2,Q1,2010,10.89421426
27/02/2010,2,Q1,2010,10.49843049
28/02/2010,2,Q1,2010,9.615289168
01/03/2010,3,Q1,2010,8.255562336
02/03/2010,3,Q1,2010,6.551411186
03/03/2010,3,Q1,2010,4.783662458
04/03/2010,3,Q1,2010,3.355175908
05/03/2010,3,Q1,2010,2.699984369
06/03/2010,3,Q1,2010,3.146948012
07/03/2010,3,Q1,2010,4.782902299
08/03/2010,3,Q1,2010,7.370428601
09/03/2010,3,Q1,2010,10.36319274
10/03/2010,3,Q1,2010,13.03043103
11/03/2010,3,Q1,2010,14.66214543
12/03/2010,3,Q1,2010,14.79226109
13/03/2010,3,Q1,2010,13.36240852
14/03/2010,3,Q1,2010,10.7627326
15/03/2010,3,Q1,2010,7.726509188
16/03/2010,3,Q1,2010,5.108623031
17/03/2010,3,Q1,2010,3.622767495
18/03/2010,3,Q1,2010,3.629250287
19/03/2010,3,Q1,2010,5.046633066
20/03/2010,3,Q1,2010,7.413379366
21/03/2010,3,Q1,2010,10.06928059
22/03/2010,3,Q1,2010,12.38319135
23/03/2010,3,Q1,2010,13.94054226
24/03/2010,3,Q1,2010,14.62600937
25/03/2010,3,Q1,2010,14.583714
26/03/2010,3,Q1,2010,14.08861029
27/03/2010,3,Q1,2010,13.39600435
28/03/2010,3,Q1,2010,12.63796367
29/03/2010,3,Q1,2010,11.80689199
30/03/2010,3,Q1,2010,10.82235533
31/03/2010,3,Q1,2010,9.638280144
01/04/2010,4,Q2,2010,8.331560931
02/04/2010,4,Q2,2010,7.125884861
03/04/2010,4,Q2,2010,6.337750205
04/04/2010,4,Q2,2010,6.267877251
05/04/2010,4,Q2,2010,7.084157066
06/04/2010,4,Q2,2010,8.744032498
07/04/2010,4,Q2,2010,10.98681005
08/04/2010,4,Q2,2010,13.39874299
09/04/2010,4,Q2,2010,15.52690595
10/04/2010,4,Q2,2010,17.00157325
11/04/2010,4,Q2,2010,17.62647853
12/04/2010,4,Q2,2010,17.41108714
13/04/2010,4,Q2,2010,16.54176598
14/04/2010,4,Q2,2010,15.30963424
15/04/2010,4,Q2,2010,14.02410509
16/04/2010,4,Q2,2010,12.9399808
17/04/2010,4,Q2,2010,12.21523609
18/04/2010,4,Q2,2010,11.90269301
19/04/2010,4,Q2,2010,11.9679988
20/04/2010,4,Q2,2010,12.3217452
21/04/2010,4,Q2,2010,12.85434837
22/04/2010,4,Q2,2010,13.46544652
23/04/2010,4,Q2,2010,14.08273526
24/04/2010,4,Q2,2010,14.66817602
25/04/2010,4,Q2,2010,15.21290714
26/04/2010,4,Q2,2010,15.72504998
27/04/2010,4,Q2,2010,16.21533947
28/04/2010,4,Q2,2010,16.68432435
29/04/2010,4,Q2,2010,17.11384816
30/04/2010,4,Q2,2010,17.46581742
01/05/2010,5,Q2,2010,17.69129925
02/05/2010,5,Q2,2010,17.75014528
03/05/2010,5,Q2,2010,17.63540538
04/05/2010,5,Q2,2010,17.39128409
05/05/2010,5,Q2,2010,17.11301991
06/05/2010,5,Q2,2010,16.92369717
07/05/2010,5,Q2,2010,16.93372343
08/05/2010,5,Q2,2010,17.19779101
09/05/2010,5,Q2,2010,17.68704378
10/05/2010,5,Q2,2010,18.28983271
11/05/2010,5,Q2,2010,18.84457155
12/05/2010,5,Q2,2010,19.19581414
13/05/2010,5,Q2,2010,19.2537695
14/05/2010,5,Q2,2010,19.03289849
15/05/2010,5,Q2,2010,18.65082085
16/05/2010,5,Q2,2010,18.2840119
17/05/2010,5,Q2,2010,18.09548637
18/05/2010,5,Q2,2010,18.16289672
19/05/2010,5,Q2,2010,18.43681012
20/05/2010,5,Q2,2010,18.74792161
21/05/2010,5,Q2,2010,18.8633982
22/05/2010,5,Q2,2010,18.57332399
23/05/2010,5,Q2,2010,17.77511202
24/05/2010,5,Q2,2010,16.52237043
25/05/2010,5,Q2,2010,15.01747396
26/05/2010,5,Q2,2010,13.55031113
27/05/2010,5,Q2,2010,12.40898313
28/05/2010,5,Q2,2010,11.79921772
29/05/2010,5,Q2,2010,11.80168868
30/05/2010,5,Q2,2010,12.37534538
31/05/2010,5,Q2,2010,13.39342074
