"YearQuarter","AverageStrength","Year","Quarter","YearLabel"
"2010-Q1",8.36394015878889,"2010","1","2010"
"2010-Q2",16.3703375392527,"2010","2",""
"2010-Q3",19.9492424333696,"2010","3",""
"2010-Q4",14.8461150196848,"2010","4",""
"2011-Q1",15.2009114785556,"2011","1","2011"
"2011-Q2",16.0710294120879,"2011","2",""
"2011-Q3",17.850040966413,"2011","3",""
"2011-Q4",18.9537729895217,"2011","4",""
"2012-Q1",16.0502537982418,"2012","1","2012"
"2012-Q2",11.7123278499341,"2012","2",""
"2012-Q3",16.4329145492391,"2012","3",""
"2012-Q4",16.5705902484891,"2012","4",""
"2013-Q1",11.2152029305333,"2013","1","2013"
"2013-Q2",17.0910849038462,"2013","2",""
"2013-Q3",17.562834878913,"2013","3",""
"2013-Q4",18.9327879463043,"2013","4",""
"2014-Q1",15.0385111065667,"2014","1","2014"
"2014-Q2",14.7940187327363,"2014","2",""
"2014-Q3",16.0293869861957,"2014","3",""
"2014-Q4",17.7921331927174,"2014","4",""
"2015-Q1",16.9478213093,"2015","1","2015"
"2015-Q2",16.0388074328901,"2015","2",""
"2015-Q3",16.3541665278261,"2015","3",""
"2015-Q4",19.6091317326413,"2015","4",""
"2016-Q1",14.817293870033,"2016","1","2016"
"2016-Q2",13.9811976243077,"2016","2",""
"2016-Q3",19.2809712722826,"2016","3",""
"2016-Q4",18.8190316443478,"2016","4",""
"2017-Q1",16.6493250981444,"2017","1","2017"
"2017-Q2",14.4546701975934,"2017","2",""
"2017-Q3",17.0144175316304,"2017","3",""
"2017-Q4",19.3120795055435,"2017","4",""
"2018-Q1",17.1356756971667,"2018","1","2018"
"2018-Q2",17.5075168716484,"2018","2",""
"2018-Q3",18.6026016779348,"2018","3",""
"2018-Q4",18.830955313087,"2018","4",""
"2019-Q1",15.0577650782222,"2019","1","2019"
"2019-Q2",13.5249882974615,"2019","2",""
"2019-Q3",15.7121312038043,"2019","3",""
"2019-Q4",16.4165353540217,"2019","4",""
"2020-Q1",17.4591730692857,"2020","1","2020"
"2020-Q2",14.8985516073297,"2020","2",""
"2020-Q3",16.8191309881087,"2020","3",""
"2020-Q4",19.3517149943662,"2020","4",""
